lagoslakeid,lake_nhdid,lake_namelagos,lake_centroidstate,lake_missingws,lake_elevation_m,lake_waterarea_ha,lake_connectivity_class,latitude,longitude
262633,31963166,,KY,N,150,7.7,Drainage,36.92252,-86.82067
281647,114191923,,AR,N,59.8,1.1,Isolated,35.03823,-91.5488
144481,62588326,,VA,N,50,27.9,Drainage,37.6349,-77.69185
276150,{C95B8E5B-336A-4B43-845D-17740901A598},,MN,N,343.8,14,Isolated,45.59156,-96.64497
405179,127225942,,TX,N,81,1.5,Headwater,32.65207,-94.41616
299908,8472FD9D-CC8F-4804-A417-6567A133CDDD,,LA,N,42.4,9.2,Isolated,30.81231,-90.8335
158977,155963156,,SC,N,77,1.7,Drainage,34.26049,-80.4471
121078,133216199,,IL,N,168.6,1,Drainage,39.85257,-89.57256
64353,{5ADB2CC5-CEEB-4B65-B39D-5005E71A7655},,VT,N,535,1.9,Headwater,42.82759,-72.98984
346206,128639804,,SD,N,721.2,1,Drainage,43.84808,-101.43059
353199,144180998,,SD,N,593,2.4,Isolated,44.91268,-99.24599
240642,{E415237F-0066-4EA0-B36C-60BD45A08BAB},,AL,N,73.8,5.2,Isolated,32.36318,-86.02486
17440,100539612,,NJ,N,14.8,1.2,Isolated,39.76337,-74.66623
304015,67996258,,LA,N,62,1,Drainage,30.92236,-93.19466
403491,93592501,,TX,N,204.5,2.2,Drainage,33.54929,-96.30921
447129,136495516,,CO,N,2310.7,5.7,Isolated,37.56698,-105.98311
76381,133404929,,IA,N,208,1.5,Isolated,41.30332,-92.46565
199441,{2F8726AF-28BC-4739-A18B-F6204410C091},,FL,N,4.4,1.7,Isolated,26.54465,-81.80818
133708,59812323,Jacks Lake,MN,N,367.2,11.3,Isolated,46.3922,-94.27872
364023,153982501,Speck Lake,NE,N,1027.6,32.5,Isolated,42.32835,-101.28052
449467,88849641,Palmer Lake,CO,N,3251.1,2.9,Drainage,39.67854,-107.28719
74059,155290588,Collett Pond,IN,N,145.5,10.4,Drainage,40.00445,-87.44194
283899,143706587,,AR,N,70.5,3.4,Isolated,35.56847,-91.02561
454890,{8994366F-9C73-4B63-9DA1-569FE83EFC95},,AZ,N,280.1,30.5,Isolated,33.35968,-112.87228
288679,126694988,,MS,N,105.4,2,Drainage,33.59299,-89.86108
